[Thu Mar 12 11:27:01.621350 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 27, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:01.622332 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 31, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:01.622332 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Notice:  Undefined variable: link in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 58, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:01.622332 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 58, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:01.622332 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 60, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:01.622332 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Notice:  Undefined variable: link in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 116, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:01.622332 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 116, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.615727 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Notice:  Undefined variable: link in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 27, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.615727 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 27, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.615727 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 31, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.615727 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Notice:  Undefined variable: link in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 58, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.615727 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 58, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.615727 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 60, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.615727 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Notice:  Undefined variable: link in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 116, referer: http://localhost:8080/index.php
[Thu Mar 12 11:27:02.616729 2015] [:error] [pid 6936:tid 1072] [client ::1:62085] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, null given in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 116, referer: http://localhost:8080/index.php
